Question,User ID,Department/Region,Work Name
Q6,USR-202506-0022,Region: Arab States,Feasibility Study and Legal Mapping for Childcare Cooperative
Q6,USR-202506-0022,Region: Arab States,Marketing and Packaging Support Toolkit
Q6,USR-202506-0022,Region: Arab States,Knowledge Exchange with Italian Institutions
Q6,USR-202506-0022,Region: Arab States,Outreach and Communication
Q6,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Employment and Trade Impacts of the Wadi Al Arab Water System II Project in Jordan
Q6,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",évaluation de l'impact sur l'emploi et le commerce au Maroc
Q6,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Employment and Trade Impact Assessment of the “Kafr El Sheikh Wastewater Expansion Program” in Egypt (unpublished)
Q6,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",évaluation de l'impact sur l'emploi et le commerce en Tunisie
Q6,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods","Skills for Trade and Economic
Diversification (STED) Analysis of the
Engineering Products and Services
Sectors in Jordan"
Q6,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods","Compétences pour le Commerce et
la Diversification économique (STED)
de la cha?ne de valeur de la branche
de la bonneterie au Maroc (unpublished)"
Q6,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods","Skills for Trade and Economic
Diversification (STED) and Trade
and Value Chains in Employment-
Rich Activities (TRAVERA) within
the value chain of aromatic and
medicinal plants in Tunisia (unpublished)"
Q6,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods","TRAVERA-STED analysis of the Sugar, Sugar Confectionary and Chocolate in Egypt (unpublished)"
Q6,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Nacala road corridor (NTL study)(July 2024)
Q6,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",PNDP (September 2024)
Q6,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Malawi-Mozambique Interconnector (November 2024)
Q6,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods","Credit Guarantee Schemes, MSME access to finance and Productivity in Rwanda (July 2024)"
Q6,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",GMG long-term impacts (August 2024)
Q6,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",GMG additional sites (December 2024)
Q6,USR-202506-0024,"Employment Policy, Job Creation and Livelihoods","Global Employment Trends for Youth 2024: Decent work, brighter futures"
Q6,USR-202506-0024,"Employment Policy, Job Creation and Livelihoods",Regional briefs associated to the GET Youth 2024
Q6,USR-202506-0025,Region: Asia and the Pacific,Youth Entrepreneurship Promotion
Q6,USR-202506-0025,Region: Asia and the Pacific,Labour migration research
Q6,USR-202506-0025,Region: Asia and the Pacific,Impact of MSMEs
Q6,USR-202506-0025,Region: Asia and the Pacific,Statistical brief: Sri Lanka's labour market during the economic crisis of 2022-2023
Q6,USR-202506-0025,Region: Asia and the Pacific,Northern Province Growth Diagnostic Study
Q6,USR-202506-0025,Region: Asia and the Pacific,A study on comparability of TVET systems and qualification between Philippines and Sri Lanka.
Q6,USR-202506-0025,Region: Asia and the Pacific,Labour migration research
Q6,USR-202506-0026,Region: Asia and the Pacific,policy brief on NEET
Q6,USR-202506-0026,Region: Asia and the Pacific,policy brief on Employment outlook in times of austerity
Q6,USR-202506-0026,Region: Asia and the Pacific,"value chain mapping of textiles, construction and fruits and vegetables"
Q6,USR-202506-0027,Region: Asia and the Pacific,"A value chain study conducted covering four sectors (tourism, agro-processing,
ICT, and care work)"
Q6,USR-202506-0027,Region: Asia and the Pacific,Rapid market analysis of the seaweed value chain in Cox’s Bazar
Q6,USR-202506-0027,Region: Asia and the Pacific,Rapid market analysis of the salt value chain in Cox’s Bazar
Q6,USR-202506-0027,Region: Asia and the Pacific,"Skills demand and supply assessment in the Chattogram-Cox's Bazar region, Bangladesh"
Q6,USR-202506-0027,Region: Asia and the Pacific,Tourism destination development roadmap
Q6,USR-202506-0027,Region: Asia and the Pacific,The Beneficiary Learning Information Management System (BLIMS)
Q6,USR-202506-0027,Region: Asia and the Pacific,Graduate Tracking Management System
Q6,USR-202506-0028,Region: Asia and the Pacific,"India Employment Report 2024: Youth employment, education and skills"
Q6,USR-202506-0028,Region: Asia and the Pacific,A study on “Financing mechanisms for Flexible Training Pathways in India: Closing the gap to Lifelong Learning (LLL)”
Q6,USR-202506-0028,Region: Asia and the Pacific,ACTRAV GLOBAL RBSA
Q6,USR-202506-0029,Region: Asia and the Pacific,"Systems analysis for grievance documentation and case management system for improving trade union operations and outreach capabilities within the garments, palm oil and fisheries sectors | International Labour Organization"
Q6,USR-202506-0029,Region: Asia and the Pacific,Study on the impact of employment cluster regulation in the Job Creation Law on workers with fixed-term employment contracts in the garment sector | International Labour Organization
Q6,USR-202506-0029,Region: Asia and the Pacific,Understanding working conditions of fishers in Indonesia: Evidence from the 2024 Survey on Decent Work in Marine Fishing
Q6,USR-202506-0029,Region: Asia and the Pacific,Decent work and responsible business practices in Indonesia's electronics manufacturing sector
Q6,USR-202506-0029,Region: Asia and the Pacific,Assessment of jobs and skill needs in the electric vehicle value chain
Q6,USR-202506-0029,Region: Asia and the Pacific,Enhancing the effectiveness of legal pathways for labour migration in ASEAN
Q6,USR-202506-0029,Region: Asia and the Pacific,Labour rights and social protection coverage for domestic workers in ASEAN
Q6,USR-202506-0029,Region: Asia and the Pacific,Employment impact of shifting to electric power generation through renewable sources in Indonesia
Q6,USR-202506-0029,Region: Asia and the Pacific,The Skills development and employment situation in Indonesia's electronic sector: Navigating technological changes and labour transitions
Q6,USR-202506-0029,Region: Asia and the Pacific,"Working conditions of subnational government workers in selected South and South-east Asian countries: Bangladesh, Nepal, Indonesia, Malaysia and the Philippines"
Q6,USR-202506-0029,Region: Asia and the Pacific,"Manual - Mainstreaming gender equality, disability and social inclusion (GEDSI) and the prevention and response to sexual violence in vocational education and training institutions"
Q6,USR-202506-0029,Region: Asia and the Pacific,Census 2022 Thematic Report on Labour Force
Q6,USR-202506-0030,Region: Asia and the Pacific,Community campaigns on employment related services
Q6,USR-202506-0031,Region: Asia and the Pacific,Pacific Emploment and Social Monitor
Q6,USR-202506-0033,"Employment Policy, Job Creation and Livelihoods",Lignes directrices pour la mise en ?uvre des politiques nationales de l’emploi
Q6,USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",Work Wise Youth: A guide to youth rights at work
Q6,USR-202506-0035,Region: Asia and the Pacific,Skills Needs Assessment and Anticipation Study for the Chattogram-Cox's Bazar Economic Corridor
Q6,USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",A Just Transition With and For Youth
Q6,USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",Artificial Intelligence at the Service of Decent Jobs for Young Women and Men - March 2024
Q6,USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",Independent Internal Evaluation: Support to strengthening the inter-institutional governance in the field of labour exploitation (ITA/20/01/EUR)
Q6,USR-202506-0036,"Employment Policy, Job Creation and Livelihoods","Global - technical inputs and added a youth angle to the ""Jobs for Green Growth and a Just Transition: Bridging data, policy, and action for greener economies with decent work for women and youth"" report.?"
Q6,USR-202506-0037,"Employment Policy, Job Creation and Livelihoods",YouthForesight Knowledge Platform - Knowledge Resources
Q6,USR-202506-0038,Region: Latin America and the Caribbean,"Regional study on youth employment, based on mixed methods (quali / quanti), with policy recommendations"
Q6,USR-202506-0038,Region: Latin America and the Caribbean,Youth employment in Argentina
Q6,USR-202506-0038,Region: Latin America and the Caribbean,Laburencers’ Campaign
Q6,USR-202506-0038,Region: Latin America and the Caribbean,Youth Employment Outlook in Colombia 2016–2023
Q6,USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",Active Labour Market Programs Improve Employment and Earnings of Young People
Q6,USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",Active Labour Market Programs Improve Employment and Earnings of Young People
Q6,USR-202506-0041,Conditions of Work and Equality,"ILO Global Estimates
on International Migrant Workers
International migrants in the labour force
Fourth edition"
Q6,USR-202506-0042,Governance and Tripartism,ILO Child Labour Framework for Action
Q6,USR-202506-0042,Governance and Tripartism,ACCEL Africa II
Q7,USR-202506-0001,Region: Asia and the Pacific,Quality Apprenticeship and Lifelong Learning in China Project Phase 2
Q7,USR-202506-0001,Region: Asia and the Pacific,2024 G20 Entrepreneurship Roundtable
Q7,USR-202506-0001,Region: Asia and the Pacific,Empowering PLHIV with digital skills and on-line enterpreneurship skills in the digital era
Q7,USR-202506-0003,Region: Asia and the Pacific,Myanmar Programme on the Elimination of Child Labour (My-PEC)
Q7,USR-202506-0004,Region: Asia and the Pacific,Support to the conduct of the regional consultations for the development of the National Employment Masterplan
Q7,USR-202506-0004,Region: Asia and the Pacific,Support to the development of the National Green Jobs Human Resources Development Plan
Q7,USR-202506-0005,Region: Arab States,"Supporting Resilient Livelihoods, Food Security and Climate Adaptation in Yemen (ERRY III) Joint Programme."
Q7,USR-202506-0008,Region: Europe and Central Asia,Youth Guarantee
Q7,USR-202506-0008,Region: Europe and Central Asia,Youth Guarantee
Q7,USR-202506-0008,Region: Europe and Central Asia,Youth Guarantee
Q7,USR-202506-0008,Region: Europe and Central Asia,Youth Guarantee
Q7,USR-202506-0008,Region: Europe and Central Asia,Youth Guarantee
Q7,USR-202506-0008,Region: Europe and Central Asia,Youth Guarantee
Q7,USR-202506-0009,Region: Africa,Strategy for youth employment in Agriculture in Mozambique
Q7,USR-202506-0009,Region: Africa,Youth Employment Strategy for Africa (YESA)
Q7,USR-202506-0009,Region: Africa,National Employment Policy and Strategy for Uganda
Q7,USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",ProAgroYouth
Q7,USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",ProAgro
Q7,USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",JEUN'ESS
Q7,USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",MozTrabalha
Q7,USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",IPTIC
Q7,USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",Digital PINAS
Q7,USR-202506-0019,Region: Arab States,Regional Youth NEET programme (2024-2026)
Q7,USR-202506-0020,Region: Asia and the Pacific,Youth Employment Promotion Project
Q7,USR-202506-0020,Region: Asia and the Pacific,Promoting the Global Development Initiative with a Focus on South-South Cooperation in Employment in ASEAN
Q7,USR-202506-0020,Region: Asia and the Pacific,Decent Employment for Youth in Cambodia (Phase II + Phase III)
Q7,USR-202506-0020,Region: Asia and the Pacific,Building Youth Capacity and Network in Asia Pacific
Q7,USR-202506-0020,Region: Asia and the Pacific,"Young Futuremakers Malaysia: Promoting the career progression of young women through up/reskilling in STEM, including digital skills, and employment services"
Q7,USR-202506-0020,Region: Asia and the Pacific,Young Futuremakers Thailand - Phase II
Q7,USR-202506-0022,Region: Arab States,Cooperative Business Plan Competition at Al-Quds University
Q7,USR-202506-0022,Region: Arab States,Integration of ILO’s Think.COOP and Start.COOP into Al-Quds University’s incubators
Q7,USR-202506-0022,Region: Arab States,Cooperative model visits and exchange on youth entrepreneurship (Rome Study Tour – CoopStartup model)
Q7,USR-202506-0022,Region: Arab States,"Development of youth-led cooperative models in emerging sectors (IT, tourism, green services) – Post-Rome pilot actions"
Q7,USR-202506-0022,Region: Arab States,"Academic partnerships for cooperative education and youth training (e.g. Roma Tre, University of Bologna, Refresh Academy"
Q7,USR-202506-0022,Region: Arab States,Mentorship and coaching for youth cooperative startups through CSP
Q7,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods","Mainstreaming Employment into Trade and Investment, phase 2 (METI II)"
Q7,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",STRENGTHEN 2: Employment impact assessment to maximise job creation in Africa
Q7,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Projet de réalisation des activités d'appui à l'employabilité des jeunes par l'approche HIMO et de création des emplois pour les jeuens dans le cadre du Programme d'Appui au Secteur des Transports
Q7,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Projet de Développement Multisectoriel et de Résilience Urbaine de la Ville de Kinshasa
Q7,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",EIIP component under Prospects - Inclusive jobs and education for refugees and host communities in Ethiopia (Dutch funds for Ethiopia)
Q7,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",EIIP component under Prospects - Inclusive jobs and education for refugees and host communities in Kenya (Dutch funds for Ethiopia)
Q7,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods","HIMO au niveau des perimetres irrigues et des pistes et renforcement de capacite des structures de gestion, deuxième phase"
Q7,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",EIIP component - Skills development and employment opportunities for vulnerable youth in Northern Mozambique.
Q7,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Value Chain Improvement and Employment Creation Component of the project “Multidimensional resilient recovery of the Ibo and Buzi Districts”
Q7,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Rural Access & Agricultural Marketing Project (RAAMP)
Q7,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",EIIP Component: Opportunity Salone Programme – Jobs and Growth programme in Sierra Leone
Q7,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Implementation of the Expanded Public Works Programme Nationally in South Africa through the National Department of Public Works
Q7,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods","Implementation of the Expanded Public Works Programmes in the Limpop Province, South Africa through the Limpopo Department of Public Works"
Q7,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Support to the formalization of small economic units and workers in the waste management value chain within the Waterberg District.
Q7,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",E-waste for youth employment in Limpopo Province (JSB)
Q7,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Sustainable return and reintegration through Employment-Intensive Infrastructure works.
Q7,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods","Creating decent work opportunities for Somali IDPs, returnees and host communities (Phase II): Draft Financing Agreement"
Q7,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",EIIP component under Prospects - Inclusive jobs and education for refugees and host communities in Sudan (Dutch funds for Ethiopia)
Q7,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Community Based Routine Maintenance (CBRM) under the RISE Project
Q7,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Initiative pilote de développement local intégré (last addl app oct2024)
Q7,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",EIIP component under Prospects - Inclusive jobs and education for refugees and host communities in Uganda (Dutch funds for Uganda)
Q7,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods","Promoting Employment and Decent Work in Afghanistan through the Humanitarian-
Development-Peace nexus -North Livelihoods & Econ Activity- (MPTF Afghanistan)"
Q7,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Promoting employment and decent work in Afghanistan through the humanitarian-development-peace nexus: Essential services
Q7,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Promoting employment and decent work in Afghanistan through the humanitarian-development-peace nexus: Livelihoods and economic activities
Q7,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",EIIP component UNDER PROSPECTS: Inclusive jobs and education for refugees and host communities in Iraq (Dutch funds for Iraq)
Q7,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Project for Enhancing Decent Work Opportunities through Improved Housing Sector Performance and Delivery of Affordable Homes in Iraq
Q7,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",EIIP component. Towards a More inclusive Economy Through immediate Job Generation and Enterprise Development for Vulnerable Refugee and Host Communities in Jordan
Q7,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods","EIIP Jordan, Phase VI"
Q7,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Towards a more Inclusive Economy through Immediate Job Generation and Enterprise Development for Vulnerable Refugee and Host Communities in Jordan - Phase II
Q7,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Employment Intensive Infrastructure Programme in Lebanon- Phase V
Q7,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Improving living conditions and resilience refugees and host communities
Q7,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Employment Intensive Infrastructure Programme in Lebanon (EIIP) Phase VI LBN/24/02/DEU
Q7,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods","Mitigating the devastating effects of the crisis on Palestinian workers, employers and their families"
Q7,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Emergency employment through rural road rehabilitation for decent jobs and livelihoods recovery (sub-objective 2)
Q7,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Job-rich early recovery support programme (JSB)
Q7,USR-202506-0023,"Employment Policy, Job Creation and Livelihoods","ILO EU Support to Rural Entrepreneurship, Investment and Trade in Papua New Guinea"
Q7,USR-202506-0025,Region: Asia and the Pacific,Youth Entrepreunership Promotion
Q7,USR-202506-0025,Region: Asia and the Pacific,Youth skills for digital economy
Q7,USR-202506-0025,Region: Asia and the Pacific,Safe migration and skills for youth
Q7,USR-202506-0025,Region: Asia and the Pacific,Entrepreneurship promotion including youth
Q7,USR-202506-0027,Region: Asia and the Pacific,Business Development Service Centers
Q7,USR-202506-0027,Region: Asia and the Pacific,Contribution to SME policy amendment
Q7,USR-202506-0027,Region: Asia and the Pacific,Gender and Skills Taskforce
Q7,USR-202506-0027,Region: Asia and the Pacific,Labour Market Monitoring and Planning platform
Q7,USR-202506-0027,Region: Asia and the Pacific,Delivery of industry demand driven skills training for youth
Q7,USR-202506-0027,Region: Asia and the Pacific,Employment Support Services for youth
Q7,USR-202506-0027,Region: Asia and the Pacific,Market systems and value chain development
Q7,USR-202506-0027,Region: Asia and the Pacific,Apprenticeship training in agro processing
Q7,USR-202506-0027,Region: Asia and the Pacific,Apprenticeship training in informal sector
Q7,USR-202506-0028,Region: Asia and the Pacific,Technical support on newly announced employment linked incentive scheme
Q7,USR-202506-0028,Region: Asia and the Pacific,SPARK Project
Q7,USR-202506-0029,Region: Asia and the Pacific,labour inspections
Q7,USR-202506-0029,Region: Asia and the Pacific,Agroforestry Skills for Employment and Resilience in Timor-Leste
Q7,USR-202506-0029,Region: Asia and the Pacific,Sensitization on youth rights at work
Q7,USR-202506-0029,Region: Asia and the Pacific,Anything done by the Office in terms of technical assistance benefits the youth employment dimension. See annual IRIS report for the full list.
Q7,USR-202506-0030,Region: Asia and the Pacific,Strengthening of Employment Service Centers in Nepal (SESC) Project
Q7,USR-202506-0031,Region: Asia and the Pacific,Development of Fiji National Employment Policy with youth component
Q7,USR-202506-0031,Region: Asia and the Pacific,Development of Vanuatu National Employment Policy with youth component
Q7,USR-202506-0031,Region: Asia and the Pacific,Development of Kiribati National Employment Policy with youth component
Q7,USR-202506-0031,Region: Asia and the Pacific,Development of Tonga National Employment Policy with youth component
Q7,USR-202506-0031,Region: Asia and the Pacific,Development of Marshall Islands National Employment Policy with youth component
Q7,USR-202506-0031,Region: Asia and the Pacific,Development of Palau National Employment Policy with youth component
Q7,USR-202506-0031,Region: Asia and the Pacific,Development of Solomon Islands National Employment Policy with youth component
Q7,USR-202506-0031,Region: Asia and the Pacific,Development of Cook Islands National Employment Policy with youth component
Q7,USR-202506-0031,Region: Asia and the Pacific,Support to Government of Tonga to set up pilot apprenticeship scheme
Q7,USR-202506-0031,Region: Asia and the Pacific,Development of Tonga Apprenticeship Policy
Q7,USR-202506-0033,"Employment Policy, Job Creation and Livelihoods",Vanuatu National Employment Policy
Q7,USR-202506-0033,"Employment Policy, Job Creation and Livelihoods",Armenia Strategic Plan for Employment
Q7,USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",Technical assistance to COTU-K
Q7,USR-202506-0036,"Employment Policy, Job Creation and Livelihoods","Senegal - technical inputs to the Project ""métiers verts - financement gouvernement canadien"""
Q7,USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",Madagascar - drafting of a CN for Japan's funding.
Q7,USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",Kenya - technical inputs to the SDG MPTF Kenya PRODOC - Canada
Q7,USR-202506-0036,"Employment Policy, Job Creation and Livelihoods","Senegal - technical inputs to ""Raising the Bar for TVET: Boosting TVET Attractiveness through Though Youth Engagement"""
Q7,USR-202506-0036,"Employment Policy, Job Creation and Livelihoods","Mozambique - technical inputs and guidance for the ""Operationalisation of the action plan of the employment policy for rural youth"""
Q7,USR-202506-0036,"Employment Policy, Job Creation and Livelihoods","Pakistan - ILO-UNICEF - Towards building capacities of youth on Green Skills, Jobs and Enterpreneruship in South Asia"
Q7,USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",Peru - policy advice and inputs to the regional Specialist for the Ministry of Economy for a? Cash for Work programme
Q7,USR-202506-0038,Region: Latin America and the Caribbean,109052 De Una! Transformando a mi comunidad
Q7,USR-202506-0038,Region: Latin America and the Caribbean,Youth Employment Study: Mexico’s Jovenes Construyendo Futuro Program Evaluation
Q7,USR-202506-0038,Region: Latin America and the Caribbean,National Youth Employment Policy
Q7,USR-202506-0038,Region: Latin America and the Caribbean,Project for the Implementation of INADEH's Comprehensive Transformation and Improvement Plan
Q7,USR-202506-0038,Region: Latin America and the Caribbean,Implementation of the National Pact for Productive Inclusion of Youth
Q7,USR-202506-0038,Region: Latin America and the Caribbean,National Apprenticeship Forum
Q7,USR-202506-0038,Region: Latin America and the Caribbean,Aprendizagem Profissional Inclusiva
Q7,USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",ProAgro YOUTH
Q7,USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",ProAgro YOUTH
Q7,USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",ProAgro YOUTH
Q7,USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",ProAgro YOUTH
Q7,USR-202506-0042,Governance and Tripartism,ACCEL Africa II
Q7,USR-202506-0042,Governance and Tripartism,ACCEL Africa II
Q7,USR-202506-0042,Governance and Tripartism,ACCEL Africa II
Q7,USR-202506-0042,Governance and Tripartism,ACCEL Africa II
Q10,USR-202506-0001,Region: Asia and the Pacific,2024 Youth Digital Leaders Campus
Q10,USR-202506-0001,Region: Asia and the Pacific,Training on digital skills and on-line enterpreneurship for people living with HIV with cross sectional challenges in low GDP areas in China
Q10,USR-202506-0003,Region: Asia and the Pacific,Myanmar Programme on the Elimination of Child Labour (livelihood and skills training for the youth)
Q10,USR-202506-0004,Region: Asia and the Pacific,SCREAM Training for Youth and Educators under the ARISE Project
Q10,USR-202506-0004,Region: Asia and the Pacific,Capacity-building for Public Employment Services (PES) and career guidance advocates on the ILO Job Readiness Trainers Guide and Workbooks
Q10,USR-202506-0004,Region: Asia and the Pacific,Training on WISE and SCORE
Q10,USR-202506-0004,Region: Asia and the Pacific,Training on SIYB
Q10,USR-202506-0004,Region: Asia and the Pacific,Conduct of Just Transition & Climate Action Capacity building workshops
Q10,USR-202506-0008,Region: Europe and Central Asia,Youth Guarantee
Q10,USR-202506-0008,Region: Europe and Central Asia,Youth Guarantee
Q10,USR-202506-0008,Region: Europe and Central Asia,Youth Guarantee
Q10,USR-202506-0008,Region: Europe and Central Asia,Youth Guarantee
Q10,USR-202506-0008,Region: Europe and Central Asia,Youth Guarantee
Q10,USR-202506-0008,Region: Europe and Central Asia,Youth Guarantee
Q10,USR-202506-0009,Region: Africa,Capacity building on NEP implementation and effective coordination mechanisms
Q10,USR-202506-0009,Region: Africa,Tripartite workshop workshop on National Employment Policy Cycle in Zimbabwe
Q10,USR-202506-0012,International Training Centre of the ILO,Global Youth Forum 2024
Q10,USR-202506-0012,International Training Centre of the ILO,Skills Fair on Quality Apprenticeships
Q10,USR-202506-0012,International Training Centre of the ILO,Boosting Decent Jobs and Enhancing Skills for the Youth in Rwanda's Digital Economy - ILO
Q10,USR-202506-0012,International Training Centre of the ILO,Community hackathon: Youth innovating against child labour - ILO
Q10,USR-202506-0012,International Training Centre of the ILO,The role of youth in the blue economy in Small Island Development States in the Pacific
Q10,USR-202506-0012,International Training Centre of the ILO,Decent Jobs for Rural Youth
Q10,USR-202506-0012,International Training Centre of the ILO,Young NEETs in the Southern Mediterranean region / Jeunes NEETs dans la région du sud de la Méditerranée
Q10,USR-202506-0012,International Training Centre of the ILO,The role of youth in the blue economy in the South West Indian Ocean
Q10,USR-202506-0012,International Training Centre of the ILO,O papel dos jovens na economia azul
