UserId,Department/Region,Knowledge development and dissemination. ,Technical assistance and capacity-building of constituents. ,Advocacy and partnerships. 
USR-202506-0017,Sectoral Policies,,,
USR-202506-0017,Sectoral Policies,,,
USR-202506-0017,Sectoral Policies,,,
USR-202506-0018,Universal Social Protection,YES,YES,
USR-202506-0018,Universal Social Protection,,,
USR-202506-0018,Universal Social Protection,,,
USR-202506-0019,Region: Arab States,YES,YES,YES
USR-202506-0020,Region: Asia and the Pacific,,YES,YES
USR-202506-0020,Region: Asia and the Pacific,,,
USR-202506-0020,Region: Asia and the Pacific,,,
USR-202506-0020,Region: Asia and the Pacific,,,
USR-202506-0020,Region: Asia and the Pacific,,,
USR-202506-0020,Region: Asia and the Pacific,,,
USR-202506-0020,Region: Asia and the Pacific,,,
USR-202506-0022,Region: Arab States,YES,YES,YES
USR-202506-0022,Region: Arab States,,,
USR-202506-0022,Region: Arab States,,,
USR-202506-0022,Region: Arab States,,,
USR-202506-0022,Region: Arab States,,,
USR-202506-0022,Region: Arab States,,,
USR-202506-0022,Region: Arab States,,,
USR-202506-0022,Region: Arab States,,,
USR-202506-0022,Region: Arab States,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",YES,YES,YES
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0024,"Employment Policy, Job Creation and Livelihoods",YES,YES,YES
USR-202506-0024,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0025,Region: Asia and the Pacific,YES,YES,YES
USR-202506-0025,Region: Asia and the Pacific,,,
USR-202506-0025,Region: Asia and the Pacific,,,
USR-202506-0025,Region: Asia and the Pacific,,,
USR-202506-0025,Region: Asia and the Pacific,,,
USR-202506-0025,Region: Asia and the Pacific,,,
USR-202506-0025,Region: Asia and the Pacific,,,
USR-202506-0026,Region: Asia and the Pacific,YES,YES,YES
USR-202506-0026,Region: Asia and the Pacific,,,
USR-202506-0026,Region: Asia and the Pacific,,,
USR-202506-0027,Region: Asia and the Pacific,YES,YES,YES
USR-202506-0027,Region: Asia and the Pacific,,,
USR-202506-0027,Region: Asia and the Pacific,,,
USR-202506-0027,Region: Asia and the Pacific,,,
USR-202506-0027,Region: Asia and the Pacific,,,
USR-202506-0027,Region: Asia and the Pacific,,,
USR-202506-0027,Region: Asia and the Pacific,,,
USR-202506-0027,Region: Asia and the Pacific,,,
USR-202506-0027,Region: Asia and the Pacific,,,
USR-202506-0028,Region: Asia and the Pacific,YES,YES,YES
USR-202506-0028,Region: Asia and the Pacific,,,
USR-202506-0028,Region: Asia and the Pacific,,,
USR-202506-0029,Region: Asia and the Pacific,YES,YES,YES
USR-202506-0029,Region: Asia and the Pacific,,,
USR-202506-0029,Region: Asia and the Pacific,,,
USR-202506-0029,Region: Asia and the Pacific,,,
USR-202506-0029,Region: Asia and the Pacific,,,
USR-202506-0029,Region: Asia and the Pacific,,,
USR-202506-0029,Region: Asia and the Pacific,,,
USR-202506-0029,Region: Asia and the Pacific,,,
USR-202506-0029,Region: Asia and the Pacific,,,
USR-202506-0029,Region: Asia and the Pacific,,,
USR-202506-0029,Region: Asia and the Pacific,,,
USR-202506-0029,Region: Asia and the Pacific,,,
USR-202506-0030,Region: Asia and the Pacific,,YES,YES
USR-202506-0030,Region: Asia and the Pacific,,,
USR-202506-0030,Region: Asia and the Pacific,,,
USR-202506-0030,Region: Asia and the Pacific,,,
USR-202506-0030,Region: Asia and the Pacific,,,
USR-202506-0030,Region: Asia and the Pacific,,,
USR-202506-0031,Region: Asia and the Pacific,YES,YES,YES
USR-202506-0031,Region: Asia and the Pacific,,,
USR-202506-0031,Region: Asia and the Pacific,,,
USR-202506-0031,Region: Asia and the Pacific,,,
USR-202506-0031,Region: Asia and the Pacific,,,
USR-202506-0031,Region: Asia and the Pacific,,,
USR-202506-0031,Region: Asia and the Pacific,,,
USR-202506-0031,Region: Asia and the Pacific,,,
USR-202506-0031,Region: Asia and the Pacific,,,
USR-202506-0031,Region: Asia and the Pacific,,,
USR-202506-0032,Region: Asia and the Pacific,,,YES
USR-202506-0033,"Employment Policy, Job Creation and Livelihoods",YES,YES,
USR-202506-0033,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",YES,YES,YES
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0035,Region: Asia and the Pacific,YES,YES,YES
USR-202506-0035,Region: Asia and the Pacific,,,
USR-202506-0035,Region: Asia and the Pacific,,,
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",YES,YES,YES
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0037,"Employment Policy, Job Creation and Livelihoods",YES,YES,YES
USR-202506-0037,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0038,Region: Latin America and the Caribbean,YES,YES,YES
USR-202506-0038,Region: Latin America and the Caribbean,,,
USR-202506-0038,Region: Latin America and the Caribbean,,,
USR-202506-0038,Region: Latin America and the Caribbean,,,
USR-202506-0038,Region: Latin America and the Caribbean,,,
USR-202506-0038,Region: Latin America and the Caribbean,,,
USR-202506-0038,Region: Latin America and the Caribbean,,,
USR-202506-0039,International Labour Standards,,,YES
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",YES,YES,YES
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0041,Conditions of Work and Equality,YES,,
USR-202506-0041,Conditions of Work and Equality,,,
USR-202506-0042,Governance and Tripartism,YES,YES,YES
USR-202506-0042,Governance and Tripartism,,,
USR-202506-0042,Governance and Tripartism,,,
USR-202506-0042,Governance and Tripartism,,,
USR-202506-0042,Governance and Tripartism,,,
USR-202506-0042,Governance and Tripartism,,,
USR-202506-0043,Region: Latin America and the Caribbean,YES,YES,YES
USR-202506-0043,Region: Latin America and the Caribbean,,,
USR-202506-0043,Region: Latin America and the Caribbean,,,
USR-202506-0037,"Employment Policy, Job Creation and Livelihoods",,,
