,,question,Q3:Please indicate the cluster(s) of the implementation framework relevant to your work on youth employment. ,Q3:Please indicate the cluster(s) of the implementation framework relevant to your work on youth employment. ,Q3:Please indicate the cluster(s) of the implementation framework relevant to your work on youth employment. ,Q4:Please indicate the policy areas relevant to your work on youth employment. ,Q4:Please indicate the policy areas relevant to your work on youth employment. ,Q4:Please indicate the policy areas relevant to your work on youth employment. ,Q4:Please indicate the policy areas relevant to your work on youth employment. ,Q4:Please indicate the policy areas relevant to your work on youth employment. ,Q4:Please indicate the policy areas relevant to your work on youth employment. ,Q4:Please indicate the policy areas relevant to your work on youth employment. ,Q5:Please mark the youth groups targeted in your work on youth employment. ,Q5:Please mark the youth groups targeted in your work on youth employment. ,Q5:Please mark the youth groups targeted in your work on youth employment. ,Q5:Please mark the youth groups targeted in your work on youth employment. ,Q5:Please mark the youth groups targeted in your work on youth employment. ,Q5:Please mark the youth groups targeted in your work on youth employment. ,Q5:Please mark the youth groups targeted in your work on youth employment. ,Q5:Please mark the youth groups targeted in your work on youth employment. ,Q5:Please mark the youth groups targeted in your work on youth employment. ,Q5:Please mark the youth groups targeted in your work on youth employment. 
USR-202506-0014,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0014,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0015,Communication and Public Information,,YES,,YES,,,,,,,,,,,,,,,,,
USR-202506-0015,Communication and Public Information,,,,,,,,,,,,,,,,,,,,,
USR-202506-0015,Communication and Public Information,,,,,,,,,,,,,,,,,,,,,
USR-202506-0015,Communication and Public Information,,,,,,,,,,,,,,,,,,,,,
USR-202506-0015,Communication and Public Information,,,,,,,,,,,,,,,,,,,,,
USR-202506-0015,Communication and Public Information,,,,,,,,,,,,,,,,,,,,,
USR-202506-0015,Communication and Public Information,,,,,,,,,,,,,,,,,,,,,
USR-202506-0015,Communication and Public Information,,,,,,,,,,,,,,,,,,,,,
USR-202506-0015,Communication and Public Information,,,,,,,,,,,,,,,,,,,,,
USR-202506-0015,Communication and Public Information,,,,,,,,,,,,,,,,,,,,,
USR-202506-0015,Communication and Public Information,,,,,,,,,,,,,,,,,,,,,
USR-202506-0015,Communication and Public Information,,,,,,,,,,,,,,,,,,,,,
USR-202506-0015,Communication and Public Information,,,,,,,,,,,,,,,,,,,,,
USR-202506-0015,Communication and Public Information,,,,,,,,,,,,,,,,,,,,,
USR-202506-0015,Communication and Public Information,,,,,,,,,,,,,,,,,,,,,
USR-202506-0015,Communication and Public Information,,,,,,,,,,,,,,,,,,,,,
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",,,YES,,YES,,,YES,,,,YES,YES,YES,YES,,,,,,
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",,,,,,,,,,,,,,,,,,,,,
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",,,,,,,,,,,,,,,,,,,,,
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",,,,,,,,,,,,,,,,,,,,,
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",,,,,,,,,,,,,,,,,,,,,
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",,,,,,,,,,,,,,,,,,,,,
USR-202506-0017,Sectoral Policies,,,,,,,,,,,,,,,,,,,,,
USR-202506-0017,Sectoral Policies,,,,,,,,,,,,,,,,,,,,,
USR-202506-0017,Sectoral Policies,,,,,,,,,,,,,,,,,,,,,
USR-202506-0018,Universal Social Protection,,YES,YES,,,,,,YES,,,YES,,,,,,YES,,,
USR-202506-0018,Universal Social Protection,,,,,,,,,,,,,,,,,,,,,
USR-202506-0018,Universal Social Protection,,,,,,,,,,,,,,,,,,,,,
USR-202506-0019,Region: Arab States,,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,YES,,,,,,
USR-202506-0020,Region: Asia and the Pacific,,,YES,YES,YES,YES,YES,YES,YES,,,YES,,YES,,YES,YES,,YES,,
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0022,Region: Arab States,,YES,YES,YES,,YES,,YES,,,,YES,YES,,,,,YES,,,
USR-202506-0022,Region: Arab States,,,,,,,,,,,,,,,,,,,,,
USR-202506-0022,Region: Arab States,,,,,,,,,,,,,,,,,,,,,
USR-202506-0022,Region: Arab States,,,,,,,,,,,,,,,,,,,,,
USR-202506-0022,Region: Arab States,,,,,,,,,,,,,,,,,,,,,
USR-202506-0022,Region: Arab States,,,,,,,,,,,,,,,,,,,,,
USR-202506-0022,Region: Arab States,,,,,,,,,,,,,,,,,,,,,
USR-202506-0022,Region: Arab States,,,,,,,,,,,,,,,,,,,,,
USR-202506-0022,Region: Arab States,,,,,,,,,,,,,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,YES,YES,YES,YES,YES,,,,,,YES,YES,YES,YES,,YES,YES,YES,,No one is denied employment due to their sexual orientation even if it is not a target group specifically referred to in different countries
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0024,"Employment Policy, Job Creation and Livelihoods",,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,No specific targets although vulerability of particular groups is always a focus of the research and messaging
USR-202506-0024,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0025,Region: Asia and the Pacific,,YES,YES,YES,YES,YES,YES,YES,,,,YES,YES,YES,,,YES,,YES,,"Young people with disabilities: Although not explicitly covered, the ILO Sri Lanka's broad program targated youth with disability by creating inclusive employment and training opportunities"
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0026,Region: Asia and the Pacific,,YES,YES,YES,YES,YES,,YES,YES,,,YES,YES,YES,,,,YES,,,
USR-202506-0026,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0026,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0027,Region: Asia and the Pacific,,YES,YES,YES,YES,YES,YES,YES,,,,YES,YES,,,,YES,,YES,YES,Youth in host communities impacted by protracted Rohingya refugee crisis
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0028,Region: Asia and the Pacific,,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,,YES,,,YES,HIV positive Youth and Yoth from HIV affected families
USR-202506-0028,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0028,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0029,Region: Asia and the Pacific,,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,YES,,,YES,YES,YES,,
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0030,Region: Asia and the Pacific,,,YES,YES,YES,YES,YES,YES,,,,YES,YES,YES,YES,,,YES,YES,,
USR-202506-0030,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0030,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0030,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0030,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0030,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0031,Region: Asia and the Pacific,,YES,YES,YES,YES,YES,YES,YES,,,,YES,YES,YES,,,YES,YES,,,
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0032,Region: Asia and the Pacific,,,,YES,YES,YES,,,YES,,,,YES,YES,,,,,,,
USR-202506-0033,"Employment Policy, Job Creation and Livelihoods",,YES,YES,,YES,,YES,,,,,YES,YES,YES,YES,YES,YES,YES,YES,,
USR-202506-0033,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",,YES,YES,YES,,YES,,YES,YES,,,YES,YES,,YES,,,,,,
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0035,Region: Asia and the Pacific,,YES,YES,YES,,YES,,,,,,YES,YES,YES,,,,,YES,,
USR-202506-0035,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0035,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,YES,,,YES,YES,YES,,
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0037,"Employment Policy, Job Creation and Livelihoods",,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,YES,YES,,YES,YES,YES,,
USR-202506-0037,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0038,Region: Latin America and the Caribbean,,YES,YES,YES,YES,YES,YES,,,,,YES,YES,,,,,,,,
USR-202506-0038,Region: Latin America and the Caribbean,,,,,,,,,,,,,,,,,,,,,
USR-202506-0038,Region: Latin America and the Caribbean,,,,,,,,,,,,,,,,,,,,,
USR-202506-0038,Region: Latin America and the Caribbean,,,,,,,,,,,,,,,,,,,,,
USR-202506-0038,Region: Latin America and the Caribbean,,,,,,,,,,,,,,,,,,,,,
USR-202506-0038,Region: Latin America and the Caribbean,,,,,,,,,,,,,,,,,,,,,
USR-202506-0038,Region: Latin America and the Caribbean,,,,,,,,,,,,,,,,,,,,,
USR-202506-0039,International Labour Standards,,,,YES,,,,,YES,,,YES,YES,YES,YES,YES,YES,YES,YES,,
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,YES,YES,,YES,YES,YES,,
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
USR-202506-0041,Conditions of Work and Equality,,YES,,,YES,YES,YES,,YES,YES,data,,,YES,,,,,,,
USR-202506-0041,Conditions of Work and Equality,,,,,,,,,,,,,,,,,,,,,
USR-202506-0042,Governance and Tripartism,,YES,YES,YES,,YES,,YES,,,,YES,YES,YES,,,YES,YES,YES,,
USR-202506-0042,Governance and Tripartism,,,,,,,,,,,,,,,,,,,,,
USR-202506-0042,Governance and Tripartism,,,,,,,,,,,,,,,,,,,,,
USR-202506-0042,Governance and Tripartism,,,,,,,,,,,,,,,,,,,,,
USR-202506-0042,Governance and Tripartism,,,,,,,,,,,,,,,,,,,,,
USR-202506-0042,Governance and Tripartism,,,,,,,,,,,,,,,,,,,,,
USR-202506-0043,Region: Latin America and the Caribbean,,YES,YES,YES,YES,YES,YES,YES,,,,YES,YES,,,,,,,,
USR-202506-0043,Region: Latin America and the Caribbean,,,,,,,,,,,,,,,,,,,,,
USR-202506-0043,Region: Latin America and the Caribbean,,,,,,,,,,,,,,,,,,,,,
USR-202506-0037,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,,,,,,,,,,,
